stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"1504","1504","Petit Champeaux","Rennes","48.116353","-1.723158","","","0","","","1"
"1506","1506","Berthault","Rennes","48.106766","-1.730277","","","0","","","1"
"1508","1508","Berthault","Rennes","48.106693","-1.729127","","","0","","","1"
"1509","1509","Henri Fréville","Rennes","48.087843","-1.674564","","","0","","","1"
"1510","1510","Henri Fréville","Rennes","48.087821","-1.674429","","","0","","","1"
"1511","1511","La Poterie","Rennes","48.087572","-1.643466","","","0","","","1"
"1513","1513","Bois Perrin","Rennes","48.115378","-1.648495","","","0","","","1"
"1514","1514","Moulin de Joué","Rennes","48.113326","-1.647648","","","0","","","1"
"1515","1515","Moulin de Joué","Rennes","48.113631","-1.647569","","","0","","","1"
"1516","1516","Bois Perrin","Rennes","48.115973","-1.648367","","","0","","","2"
"1517","1517","Berry","Rennes","48.118565","-1.713574","","","0","","","1"
"1518","1518","Bourbonnais","Rennes","48.120586","-1.710601","","","0","","","1"
"1519","1519","Villejean-Université","Rennes","48.121070","-1.702948","","","0","","","1"
"1520","1520","Bourbonnais","Rennes","48.120479","-1.709544","","","0","","","1"
"1521","1521","Berry","Rennes","48.118445","-1.713828","","","0","","","1"
"1522","1522","Piletière","Rennes","48.113884","-1.642719","","","0","","","1"
"1523","1523","Primauguet","Rennes","48.114277","-1.649131","","","0","","","1"
"1527","1527","Primauguet","Rennes","48.114569","-1.649959","","","0","","","1"
"1528","1528","Piletière","Rennes","48.113992","-1.644420","","","0","","","1"
"1529","1529","Villejean-Université","Rennes","48.121160","-1.702943","","","0","","","1"
"1533","1533","La Poterie","Rennes","48.087637","-1.643479","","","0","","","1"
"1534","1534","Henri Fréville","Rennes","48.088589","-1.674399","","","0","","","1"
"1536","1536","Atalante","Rennes","48.127029","-1.629432","","","0","","","1"
"1537","1537","Léonard","Rennes","48.131596","-1.691660","","","0","","","1"
"1539","1539","Lemaistre","Rennes","48.107167","-1.725000","","","0","","","1"
"1540","1540","Pont de Bretagne","Rennes","48.109999","-1.685158","","","0","","","1"
"1542","1542","Pont de Bretagne","Rennes","48.109920","-1.685350","","","0","","","1"
"1543","1543","Léonard","Rennes","48.131341","-1.691889","","","0","","","1"
"1552","1552","Place Pasteur","Rennes","48.110624","-1.673506","","","0","","","1"
"1553","1553","Villejean-Université","Rennes","48.121297","-1.702339","","","0","","","1"
"1555","1555","Fossés","Rennes","48.113304","-1.675306","","","0","","","1"
"1556","1556","République","Rennes","48.109400","-1.677626","","","0","","","1"
"1563","1563","République","Rennes","48.109698","-1.678150","","","0","","","1"
"1564","1564","Henri Fréville","Rennes","48.088154","-1.674415","","","0","","","1"
"1565","1565","Lycée Basch","Rennes","48.125166","-1.692385","","","0","","","2"
"1566","1566","Lycée Basch","Rennes","48.125304","-1.692431","","","0","","","1"
"1567","1567","Charles de Gaulle","Rennes","48.106213","-1.677425","","","0","","","1"
"1568","1568","Kennedy Guyenne","Rennes","48.121028","-1.713571","","","0","","","1"
"1569","1569","Collège Rosa Parks","Rennes","48.122541","-1.716445","","","0","","","2"
"1570","1570","Coeur de Courrouze","Rennes","48.098181","-1.699161","","","0","","","1"
"1571","1571","Coeur de Courrouze","Rennes","48.098290","-1.699389","","","0","","","1"
"1572","1572","Vincennes","Rennes","48.118015","-1.675219","","","0","","","1"
"1573","1573","Mermoz","Rennes","48.097045","-1.690278","","","0","","","1"
"1575","1575","Gares","Rennes","48.103768","-1.671317","","","0","","","2"
"1578","1578","Lycée Mendès France","Rennes","48.133350","-1.683900","","","0","","","1"
"1587","1587","Cité Judiciaire","Rennes","48.105429","-1.685223","","","0","","","1"
"1588","1588","Jules Maniez","Rennes","48.098019","-1.703694","","","0","","","1"
"1589","1589","Jules Maniez","Rennes","48.097935","-1.703985","","","0","","","1"
"1590","1590","Jules Verne","Rennes","48.098899","-1.693540","","","0","","","1"
"1591","1591","Jules Verne","Rennes","48.098910","-1.693680","","","0","","","1"
"1595","1595","Charles de Gaulle","Rennes","48.105833","-1.677300","","","0","","","1"
"1596","1596","Clotilde Vautier","Rennes","48.125861","-1.668462","","","0","","","2"
"1603","1603","Les Préales","Rennes","48.113250","-1.641287","","","0","","","1"
"1604","1604","Les Préales","Rennes","48.113551","-1.640947","","","0","","","1"
"1605","1605","Pont de Strasbourg","Rennes","48.110157","-1.656509","","","0","","","1"
"1609","1609","Tournebride","Rennes","48.114194","-1.636482","","","0","","","1"
"1610","1610","Tournebride","Rennes","48.114025","-1.636082","","","0","","","1"
"1611","1611","Redon","Rennes","48.105462","-1.688422","","","0","","","1"
"1612","1612","Saint-Conwoïon","Rennes","48.103539","-1.688429","","","0","","","1"
"1613","1613","Saint-Conwoïon","Rennes","48.103012","-1.688808","","","0","","","1"
"1614","1614","Assomption","Rennes","48.122676","-1.657957","","","0","","","1"
"1615","1615","République","Rennes","48.109803","-1.678283","","","0","","","1"
"1616","1616","Saint-Conwoïon","Rennes","48.103307","-1.689206","","","0","","","1"
"1617","1617","Longs Champs Est","Rennes","48.129137","-1.630168","","","0","","","1"
"1622","1622","Alma","Rennes","48.084157","-1.679166","","","0","","","1"
"1623","1623","Alma","Rennes","48.083961","-1.678307","","","0","","","1"
"1625","1625","Armorique","Rennes","48.130730","-1.675781","","","0","","","1"
"1626","1626","Armorique","Rennes","48.130639","-1.677011","","","0","","","1"
"1629","1629","Pré Garel","Rennes","48.103996","-1.635248","","","0","","","1"
"1630","1630","ZA Saint-Sulpice","Rennes","48.132662","-1.636187","","","0","","","1"
"1633","1633","Haut Sancé","Rennes","48.096655","-1.636527","","","0","","","1"
"1634","1634","Painlevé","Rennes","48.123688","-1.660475","","","0","","","1"
"1636","1636","Haut Sancé","Rennes","48.095933","-1.637156","","","0","","","1"
"1640","1640","Lycée Mendès France","Rennes","48.133664","-1.684558","","","0","","","2"
"1643","1643","Chambre Agriculture","Rennes","48.114823","-1.715624","","","0","","","1"
"1644","1644","Place Pasteur","Rennes","48.110714","-1.673658","","","0","","","1"
